LOANID,CUSTOMERID,LOANTYPE,LOANAMOUNT,INTERESTRATE,LOANSTATUS,EMI,LOANTERM,DISBURSEMENTDATE,REPAYMENTSCHEDULE
XZYM13171160451347,1772,Auto Loan,75682933,11.46,Approved,21133,16,YYYY-02-DD 15:02:SS,6th of every Month
ZWJU21471343896460,2225,Auto Loan,67205984,9.98,Pending,17057,9,YYYY-15-DD 05:15:SS,6th of every Month
ZDQW55384657026355,1770,Auto Loan,64903230,12.28,Pending,17162,11,YYYY-45-DD 13:45:SS,4th of every Month
NXFY89667447801572,1718,Home Loan,75050631,9.5,Rejected,35652,27,YYYY-29-DD 16:29:SS,1st of every Month
GGNE30992065099201,2327,Personal Loan,8290110,7.8,Approved,31031,18,YYYY-32-DD 21:32:SS,1st of every Month
QPME10440043435066,1076,Credit Card Loan,63410298,10.91,Pending,12959,1,YYYY-59-DD 14:59:SS,1st of every Month
AYRW40742418630047,2056,Student Loan,30241446,14.37,Pending,20570,23,YYYY-45-DD 04:45:SS,7th of every Month
IADP84093194819012,2181,Business Loan,13404080,12.2,Pending,42321,2,YYYY-23-DD 14:23:SS,2nd of every Month
PTHV49964991817332,1078,Student Loan,4997117,9.12,Approved,19093,7,YYYY-32-DD 06:32:SS,7th of every Month
MAYO31030378125317,2430,Auto Loan,94881939,7.75,Approved,40151,24,YYYY-21-DD 15:21:SS,2nd of every Month
HMYS02728657488321,1234,Home Loan,73907505,14.77,Pending,40574,26,YYYY-04-DD 01:04:SS,3rd of every Month
SLWV96877842391936,1165,Business Loan,44851092,10.67,Approved,39335,19,YYYY-17-DD 07:17:SS,5th of every Month
VXVL78366946219095,1056,Personal Loan,51744743,14.75,Pending,22215,16,YYYY-18-DD 10:18:SS,2nd of every Month
ZVES98633962938571,1528,Credit Card Loan,13689710,11.84,Approved,31522,14,YYYY-17-DD 14:17:SS,1st of every Month
WWYU64779653631274,1312,Auto Loan,22298608,8,Rejected,48969,22,YYYY-12-DD 18:12:SS,3rd of every Month
DOQU74641719471821,2210,Credit Card Loan,57289875,13.91,Approved,23769,12,YYYY-47-DD 16:47:SS,1st of every Month
SMJU49254167136867,2018,Auto Loan,9885645,13.69,Pending,11163,5,YYYY-10-DD 08:10:SS,2nd of every Month
MTSR75022699381441,1629,Auto Loan,13663505,10.66,Rejected,28598,17,YYYY-03-DD 16:03:SS,1st of every Month
UWRS14919007214494,1178,Business Loan,29439111,10.62,Rejected,29342,1,YYYY-03-DD 03:03:SS,4th of every Month
IICR93717310436399,1727,Home Loan,82526313,11.87,Rejected,43109,12,YYYY-06-DD 08:06:SS,3rd of every Month
JNFK68419640561762,1596,Home Loan,50039696,11.16,Rejected,31983,26,YYYY-22-DD 23:22:SS,5th of every Month
ROVS27816179652097,2242,Business Loan,27663419,13.33,Pending,46289,11,YYYY-01-DD 18:01:SS,2nd of every Month
KYLW40418735234541,2268,Home Loan,98521512,8.9,Approved,32411,23,YYYY-13-DD 00:13:SS,1st of every Month
BTOM25295076834777,1515,Auto Loan,42129694,9.59,Rejected,37742,5,YYYY-43-DD 09:43:SS,6th of every Month
NAWS35418762581088,1351,Auto Loan,39518223,14.82,Rejected,47716,22,YYYY-52-DD 03:52:SS,4th of every Month
LSZB62357081352730,2338,Personal Loan,73835319,11.57,Rejected,19250,5,YYYY-54-DD 21:54:SS,6th of every Month
JOIZ83039725699794,1493,Credit Card Loan,78567785,12.16,Rejected,13494,20,YYYY-24-DD 13:24:SS,3rd of every Month
EJWZ82245102430759,1958,Student Loan,67858778,7.42,Pending,30441,27,YYYY-34-DD 10:34:SS,1st of every Month
XGSP63402683039321,2118,Personal Loan,56111924,12.75,Rejected,16393,16,YYYY-13-DD 06:13:SS,1st of every Month
JQMB87931177710701,1742,Business Loan,69870922,10.75,Approved,36715,10,YYYY-33-DD 08:33:SS,7th of every Month
XGXM42710008710173,1650,Business Loan,46815681,11.48,Approved,34367,3,YYYY-38-DD 11:38:SS,5th of every Month
UURW49445246314235,2492,Personal Loan,34524468,14.52,Approved,22997,6,YYYY-35-DD 22:35:SS,3rd of every Month
JRPD21024471361828,2133,Home Loan,95622123,8.41,Rejected,49609,23,YYYY-32-DD 10:32:SS,6th of every Month
UGUS76075010600735,1182,Business Loan,75849688,10.62,Pending,24656,16,YYYY-40-DD 23:40:SS,5th of every Month
BTWE45441539023164,2065,Business Loan,20292511,12.52,Approved,34239,5,YYYY-08-DD 22:08:SS,6th of every Month
BRJD00071054322590,1017,Personal Loan,5339840,8.11,Pending,35090,8,YYYY-33-DD 18:33:SS,4th of every Month
VFWW22559402610371,1057,Home Loan,37294495,8.64,Approved,42943,15,YYYY-43-DD 13:43:SS,7th of every Month
UWFF29764278086405,1467,Credit Card Loan,76177467,12.33,Pending,46527,12,YYYY-50-DD 18:50:SS,1st of every Month
WGHL85134340302276,2330,Credit Card Loan,58817466,13.3,Approved,14870,29,YYYY-04-DD 02:04:SS,7th of every Month
UWFH51905201830414,1216,Home Loan,89316387,9.84,Pending,15743,8,YYYY-44-DD 02:44:SS,4th of every Month
LBOW62160214625397,1143,Home Loan,50885173,12.13,Pending,23180,18,YYYY-57-DD 00:57:SS,1st of every Month
RKRF89774157987463,1123,Student Loan,54472452,13.5,Pending,14634,13,YYYY-21-DD 01:21:SS,6th of every Month
PXMA27841994408031,2110,Personal Loan,76311874,14.89,Rejected,20553,2,YYYY-40-DD 08:40:SS,7th of every Month
UOWI64741088163753,2176,Home Loan,25984742,11.19,Approved,31061,8,YYYY-49-DD 09:49:SS,2nd of every Month
RUVC92136532107666,1319,Personal Loan,2142896,7.64,Pending,30027,9,YYYY-07-DD 15:07:SS,6th of every Month
LOJH68814426154348,1342,Business Loan,82091970,7.22,Approved,44508,15,YYYY-06-DD 15:06:SS,6th of every Month
NPZD24086910193521,1591,Auto Loan,88139152,12.81,Rejected,35530,13,YYYY-56-DD 01:56:SS,4th of every Month
YBWP99370866838700,2282,Auto Loan,55622459,12.37,Approved,40514,17,YYYY-22-DD 02:22:SS,1st of every Month
SXEG33434034078244,1577,Personal Loan,36592338,10.13,Rejected,37422,3,YYYY-22-DD 11:22:SS,3rd of every Month
ZBSU27993998790141,1228,Personal Loan,19821232,10.26,Pending,40085,1,YYYY-20-DD 18:20:SS,1st of every Month
AYXG78495417152525,1734,Personal Loan,28354026,12.87,Pending,35513,10,YYYY-53-DD 19:53:SS,6th of every Month
OVOW51631318331090,1769,Student Loan,93860233,11.37,Pending,39711,25,YYYY-01-DD 22:01:SS,2nd of every Month
YUZX96860348924645,1835,Auto Loan,81442357,14.49,Approved,22763,4,YYYY-25-DD 00:25:SS,7th of every Month
HQHS85021543740005,2419,Student Loan,71600257,8.14,Pending,42421,30,YYYY-30-DD 18:30:SS,1st of every Month
SMLV38593754619719,2321,Credit Card Loan,9083955,7.38,Rejected,21527,29,YYYY-37-DD 03:37:SS,1st of every Month
BTAQ66761417018520,2026,Home Loan,80228926,13.2,Approved,40961,8,YYYY-32-DD 12:32:SS,4th of every Month
TLXS08570009167439,2404,Business Loan,2652918,14.33,Pending,13412,11,YYYY-49-DD 18:49:SS,2nd of every Month
QLVP40507039571664,1474,Credit Card Loan,33013142,8.7,Pending,15550,27,YYYY-33-DD 12:33:SS,2nd of every Month
BGYK19360115298608,2159,Personal Loan,40338755,12.8,Approved,49777,12,YYYY-11-DD 10:11:SS,1st of every Month
LNBA36939456292732,1723,Personal Loan,88503629,13.72,Approved,34946,23,YYYY-31-DD 20:31:SS,2nd of every Month
MFKR31515610570047,1549,Business Loan,79043834,14.94,Rejected,14957,2,YYYY-55-DD 14:55:SS,7th of every Month
LUQB13736282227226,1007,Student Loan,14923012,14.58,Rejected,22427,12,YYYY-00-DD 23:00:SS,1st of every Month
ISTN19990618145435,2341,Student Loan,70037172,11.21,Rejected,36510,28,YYYY-15-DD 04:15:SS,5th of every Month
OBCL76856954216343,1187,Student Loan,22181933,7.17,Approved,20134,15,YYYY-16-DD 01:16:SS,5th of every Month
ZSLJ86708605494478,1080,Credit Card Loan,5350271,14.35,Rejected,46169,19,YYYY-40-DD 09:40:SS,4th of every Month
MXHV07188041328639,1787,Business Loan,27166672,8.15,Pending,22775,13,YYYY-04-DD 19:04:SS,4th of every Month
LFXK86065639317814,1084,Auto Loan,34556280,8.51,Approved,14255,23,YYYY-14-DD 06:14:SS,3rd of every Month
DYNS18557056247662,1764,Auto Loan,72990224,7.88,Pending,46372,14,YYYY-42-DD 22:42:SS,5th of every Month
IYXE89991571018144,1063,Credit Card Loan,46817966,7.1,Pending,16168,11,YYYY-45-DD 04:45:SS,2nd of every Month
NZIY17835563105031,1068,Business Loan,11893575,7.89,Approved,46064,16,YYYY-17-DD 18:17:SS,7th of every Month
LBFI25463985437294,2217,Credit Card Loan,15284097,11.34,Rejected,31301,7,YYYY-56-DD 20:56:SS,1st of every Month
WLGL83036558030769,1878,Credit Card Loan,84621093,7.83,Approved,29084,17,YYYY-15-DD 04:15:SS,7th of every Month
LRCW44245243176266,2387,Student Loan,86589780,9.51,Approved,32940,15,YYYY-14-DD 02:14:SS,1st of every Month
RIFX28520898826428,2280,Credit Card Loan,85241705,11.56,Pending,24337,9,YYYY-59-DD 04:59:SS,6th of every Month
RERO28491927892998,2326,Personal Loan,22027054,11.17,Pending,42208,29,YYYY-04-DD 07:04:SS,2nd of every Month
QPCO04510667882161,1943,Home Loan,1283746,13.87,Pending,26496,2,YYYY-11-DD 16:11:SS,1st of every Month
PMXN26771718855139,1568,Home Loan,32800471,14.66,Approved,31083,2,YYYY-49-DD 11:49:SS,3rd of every Month
JLGX76783642884138,1451,Student Loan,57853284,12.5,Rejected,22435,10,YYYY-49-DD 01:49:SS,3rd of every Month
OJQU98981481066195,2225,Student Loan,82350606,12.46,Approved,18794,20,YYYY-00-DD 04:00:SS,1st of every Month
GIQV20025627372255,1018,Student Loan,77999683,8,Pending,21752,4,YYYY-18-DD 06:18:SS,2nd of every Month
GKRU75987363374746,1776,Business Loan,16661760,13.1,Approved,28623,4,YYYY-43-DD 18:43:SS,7th of every Month
OALO94943330860931,1992,Personal Loan,76301369,8.24,Approved,42022,17,YYYY-30-DD 09:30:SS,7th of every Month
OCZT29456468612964,1897,Credit Card Loan,40850414,9.49,Approved,24025,23,YYYY-32-DD 10:32:SS,2nd of every Month
CWDB92720977372817,2048,Credit Card Loan,69189025,10.82,Pending,19271,19,YYYY-17-DD 14:17:SS,2nd of every Month
TVZS95883983959820,1057,Home Loan,91837844,8.6,Approved,14829,2,YYYY-30-DD 04:30:SS,3rd of every Month
XZFQ45301512196298,1016,Student Loan,45901567,13.4,Approved,17190,24,YYYY-46-DD 05:46:SS,6th of every Month
UPYS03085150441286,1553,Home Loan,97238490,11.66,Approved,20693,14,YYYY-29-DD 00:29:SS,2nd of every Month
TCIH80939165083006,2429,Home Loan,41891734,12.22,Pending,30171,20,YYYY-40-DD 06:40:SS,6th of every Month
EVFV46205276621111,1203,Credit Card Loan,52414727,11.25,Pending,40808,7,YYYY-29-DD 10:29:SS,7th of every Month
QVTE24544530694149,1745,Home Loan,20038007,12.33,Approved,30669,30,YYYY-35-DD 02:35:SS,5th of every Month
AKDL64350673917409,1328,Personal Loan,32948957,12.37,Rejected,34467,5,YYYY-31-DD 03:31:SS,7th of every Month
PFCQ01921279536242,1029,Personal Loan,97760771,11.41,Approved,30906,21,YYYY-16-DD 11:16:SS,7th of every Month
NLKD51646234748862,2025,Student Loan,57125528,14.12,Pending,45579,29,YYYY-52-DD 18:52:SS,4th of every Month
ONGL33467590007712,2330,Business Loan,28164359,11.3,Approved,20339,28,YYYY-11-DD 21:11:SS,3rd of every Month
VWSY07428718783045,1101,Student Loan,58246101,7.96,Pending,15334,2,YYYY-17-DD 04:17:SS,7th of every Month
MQQZ17341625748732,2086,Business Loan,61659373,11.91,Approved,13748,4,YYYY-09-DD 13:09:SS,4th of every Month
EITG57143414856778,1322,Personal Loan,92793363,9.49,Approved,14382,7,YYYY-09-DD 20:09:SS,7th of every Month
BBMS85812463591578,1735,Student Loan,73208773,9.67,Pending,18576,13,YYYY-50-DD 17:50:SS,6th of every Month
BEOR72415563185231,1038,Business Loan,36305143,9.7,Approved,30160,16,YYYY-56-DD 10:56:SS,2nd of every Month
YPOG16407848695627,1238,Credit Card Loan,62337910,8.98,Approved,14048,28,YYYY-43-DD 00:43:SS,2nd of every Month
UVGK62525332379872,1272,Credit Card Loan,62953444,11.96,Rejected,17031,6,YYYY-22-DD 10:22:SS,4th of every Month
MENJ81288420051771,2421,Student Loan,47717208,13.49,Pending,36764,5,YYYY-25-DD 21:25:SS,3rd of every Month
MQIG89761300156673,2356,Credit Card Loan,71006897,9.32,Pending,14527,12,YYYY-50-DD 02:50:SS,7th of every Month
ULKM37175768381064,1649,Personal Loan,68965288,10.89,Pending,16785,19,YYYY-41-DD 22:41:SS,4th of every Month
GJAU47864290748461,1061,Auto Loan,30050809,11.71,Pending,19579,4,YYYY-04-DD 22:04:SS,3rd of every Month
QSIJ95549429423338,1774,Credit Card Loan,90710710,9.89,Approved,30292,16,YYYY-02-DD 03:02:SS,7th of every Month
FJGO76326699449310,1881,Personal Loan,34260502,12.45,Pending,41101,6,YYYY-23-DD 08:23:SS,3rd of every Month
ILBV22174878274930,1369,Auto Loan,25511080,14.73,Approved,28128,1,YYYY-23-DD 15:23:SS,6th of every Month
JQYF75511959032118,1576,Credit Card Loan,89091796,12.94,Pending,17231,30,YYYY-51-DD 09:51:SS,2nd of every Month
UMTB14264598084650,1631,Student Loan,64032175,13.39,Rejected,34849,14,YYYY-50-DD 11:50:SS,3rd of every Month
XYAE34651621317140,2053,Auto Loan,23592957,14.96,Pending,15913,5,YYYY-53-DD 06:53:SS,2nd of every Month
MWJQ43426702281106,1073,Home Loan,45963701,12.98,Approved,13281,18,YYYY-56-DD 18:56:SS,2nd of every Month
MAWP11480648748193,2188,Business Loan,32449740,8.7,Approved,20607,5,YYYY-19-DD 08:19:SS,2nd of every Month
JKNH67538401629158,2015,Personal Loan,16210681,10.2,Approved,39668,4,YYYY-55-DD 17:55:SS,2nd of every Month
VUFJ66941474768508,2111,Home Loan,67771041,9.54,Pending,40971,29,YYYY-08-DD 21:08:SS,1st of every Month
SVFY99922829470313,1978,Auto Loan,80706103,14.36,Pending,38573,20,YYYY-44-DD 08:44:SS,2nd of every Month
HRYY89186444813827,1118,Auto Loan,41594906,13.7,Rejected,47430,8,YYYY-58-DD 12:58:SS,7th of every Month
VBAR28307893046801,2467,Credit Card Loan,86907974,8.6,Pending,32843,9,YYYY-19-DD 09:19:SS,2nd of every Month
FKAJ56925911710602,1137,Home Loan,2852101,10.11,Approved,48446,13,YYYY-49-DD 11:49:SS,6th of every Month
QKYX61631257062595,1482,Auto Loan,53214586,7.73,Pending,48616,25,YYYY-00-DD 19:00:SS,5th of every Month
VSXW19446363654736,1121,Business Loan,65571482,7.89,Pending,10691,27,YYYY-13-DD 03:13:SS,2nd of every Month
ATDN76967714610919,1158,Student Loan,28999553,8.77,Pending,44716,16,YYYY-47-DD 16:47:SS,2nd of every Month
SKRD52831680431974,1591,Student Loan,5931851,12.15,Pending,35595,7,YYYY-34-DD 01:34:SS,4th of every Month
PYAK39868642624024,2057,Credit Card Loan,89044433,14.46,Pending,24024,8,YYYY-44-DD 10:44:SS,4th of every Month
LAHA92933163524084,1659,Auto Loan,6957147,10.59,Rejected,30266,11,YYYY-58-DD 00:58:SS,4th of every Month
XACD13988767144482,1056,Auto Loan,36153538,9.49,Rejected,11537,20,YYYY-03-DD 07:03:SS,4th of every Month
QAFV07067261229426,2055,Credit Card Loan,64247880,10.49,Approved,13996,4,YYYY-22-DD 02:22:SS,1st of every Month
UTMN53087198195258,1744,Home Loan,31756120,9.7,Approved,18784,2,YYYY-26-DD 00:26:SS,6th of every Month
