STOCKID,STOCKNAME,STOCKSYMBOL,STOCKEXCHANGE,PURCHASEPRICE,PURCHASEDATE,QUANTITY,INVESTMENTACCOUNTID
1031,Adani Enterprises Limited, ADANIENT,NSE,431,YYYY-41-DD 12:41:SS,76,NTZA28619387618412
1032,Mahindra & Mahindra Limited, M&M,BSE,761,YYYY-33-DD 02:33:SS,28,QASD65383442571955
1033,Aditya Birla Capital Limited, ABCAPITAL,BSE,889,YYYY-16-DD 18:16:SS,18,WWVU56471333087020
1034,Coal India Limited, COALINDIA,NSE,585,YYYY-21-DD 15:21:SS,14,KTSR45427706200315
1035,Hindustan Zinc Limited, HINDZINC,BSE,176,YYYY-39-DD 15:39:SS,63,UANT50554410431011
1036,Titan Company Limited, TITAN,BSE,470,YYYY-47-DD 06:47:SS,30,XJCR14230261045697
1037,Cipla Limited, CIPLA,BSE,702,YYYY-54-DD 04:54:SS,33,XBTQ87989353307717
1038,Maruti Suzuki India Limited, MARUTI,NSE,383,YYYY-46-DD 07:46:SS,73,ENUL70902777481959
1039,Axis Bank Limited, AXISBANK,BSE,547,YYYY-54-DD 15:54:SS,72,CBBO34852127547768
1040,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,935,YYYY-55-DD 15:55:SS,84,UYOR62639856961419
1041,Tata Consumer Products Limited, TATACONSUM,NSE,701,YYYY-01-DD 05:01:SS,71,NVKD07137094245592
1042,Mahindra & Mahindra Limited, M&M,NSE,759,YYYY-23-DD 14:23:SS,72,OPOM36300654863584
1043,Bajaj Auto Limited, BAJAJ-AUTO,NSE,680,YYYY-17-DD 09:17:SS,73,YQKM78649553024894
1044,Power Grid Corporation of India Limited, POWERGRID,BSE,226,YYYY-16-DD 21:16:SS,27,PSZH42472934107874
1045,Asian Paints Limited, ASIANPAINT,BSE,389,YYYY-11-DD 23:11:SS,42,DDWL33836319153290
1046,Hero MotoCorp Limited, HEROMOTOCO,NSE,606,YYYY-48-DD 01:48:SS,26,JAVY83396059531638
1047,State Bank of India, SBIN,BSE,625,YYYY-06-DD 04:06:SS,88,MTXJ18666380024418
1048,Shree Cement Limited, SHREECEM,BSE,823,YYYY-29-DD 18:29:SS,52,EZTW08853746970352
1049,Aditya Birla Capital Limited, ABCAPITAL,NSE,499,YYYY-56-DD 09:56:SS,61,SAMM19866599548449
1050,Axis Bank Limited, AXISBANK,NSE,820,YYYY-10-DD 00:10:SS,29,VPWS59269121168912
1051,Hero MotoCorp Limited, HEROMOTOCO,NSE,827,YYYY-23-DD 16:23:SS,70,YDYU17938432265783
1052,Kotak Mahindra Bank Limited, KOTAKBANK,NSE,107,YYYY-29-DD 02:29:SS,57,YSQJ07818581664176
1053,Aditya Birla Capital Limited, ABCAPITAL,NSE,755,YYYY-26-DD 13:26:SS,65,ZVKB34853459943476
1054,Housing Development Finance Corporation Limited, HDFC,BSE,151,YYYY-13-DD 06:13:SS,54,YUSS05742106202444
1055,SBI Life Insurance Company Limited, SBILIFE,NSE,522,YYYY-05-DD 20:05:SS,56,BBAF70753242574910
1056,Asian Paints Limited, ASIANPAINT,BSE,733,YYYY-18-DD 07:18:SS,70,GLVY43290233349713
1057,Maruti Suzuki India Limited, MARUTI,NSE,567,YYYY-40-DD 11:40:SS,12,CGYF31502909866830
1058,IndusInd Bank Limited, INDUSINDBK,NSE,774,YYYY-33-DD 01:33:SS,83,HEAU69476146554531
1059,Hero MotoCorp Limited, HEROMOTOCO,NSE,969,YYYY-09-DD 03:09:SS,75,YXIR68495707506390
1060,Housing Development Finance Corporation Limited, HDFC,NSE,986,YYYY-12-DD 16:12:SS,39,UNZG19372897702952
1061,Bajaj Finance Limited, BAJFINANCE,BSE,472,YYYY-05-DD 22:05:SS,78,TLCX23577115178523
1062,Hindustan Zinc Limited, HINDZINC,NSE,474,YYYY-59-DD 02:59:SS,69,DULN54280344823085
1063,Mahindra & Mahindra Limited, M&M,BSE,694,YYYY-03-DD 17:03:SS,5,IXVH27459683917692
1064,Shree Cement Limited, SHREECEM,BSE,432,YYYY-50-DD 20:50:SS,64,KSLV06235627308556
1065,Infosys Limited, INFY,BSE,510,YYYY-54-DD 18:54:SS,22,DYSZ57577835005908
1066,Shree Cement Limited, SHREECEM,BSE,730,YYYY-13-DD 20:13:SS,50,LXVK98332305448946
1067,Cipla Limited, CIPLA,NSE,101,YYYY-02-DD 06:02:SS,91,GOPW83072649966050
1068,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,835,YYYY-59-DD 19:59:SS,42,PCGN77579666762403
1069,Tata Motors Limited, TATAMOTORS,BSE,925,YYYY-48-DD 18:48:SS,87,MUKR00230002354732
1070,Adani Green Energy Limited, ADANIGREEN,BSE,803,YYYY-51-DD 04:51:SS,13,EHFV12816725073302
1071,Adani Green Energy Limited, ADANIGREEN,NSE,815,YYYY-37-DD 09:37:SS,100,YTSQ20989378247689
1072,SBI Life Insurance Company Limited, SBILIFE,NSE,845,YYYY-59-DD 05:59:SS,56,LXAT41297209891666
1073,Britannia Industries Limited, BRITANNIA,BSE,680,YYYY-47-DD 23:47:SS,42,IUVQ44718197030690
1074,Tata Motors Limited, TATAMOTORS,NSE,769,YYYY-35-DD 03:35:SS,30,XIYW71325599138817
1075,Power Grid Corporation of India Limited, POWERGRID,BSE,380,YYYY-10-DD 03:10:SS,17,TICY96221367901857
1076,Hindustan Unilever Limited, HINDUNILVR,BSE,268,YYYY-04-DD 22:04:SS,6,INOK16085509886221
1077,Tata Steel Limited, TATASTEEL,BSE,197,YYYY-42-DD 06:42:SS,35,EUTM07630640114632
1078,Britannia Industries Limited, BRITANNIA,NSE,837,YYYY-18-DD 10:18:SS,90,UYOR62639856961419
1079,Titan Company Limited, TITAN,NSE,621,YYYY-52-DD 18:52:SS,4,QXWB44975321448496
1080,Hindustan Zinc Limited, HINDZINC,BSE,956,YYYY-03-DD 22:03:SS,56,UUWA39703011675686
1081,SBI Life Insurance Company Limited, SBILIFE,NSE,227,YYYY-33-DD 21:33:SS,85,ALIB02176949232363
1082,Infosys Limited, INFY,NSE,623,YYYY-26-DD 09:26:SS,44,JULM43866510402051
1083,Bajaj Finserv Limited, BAJAJFINSV,BSE,767,YYYY-56-DD 14:56:SS,87,POHJ18525930784618
1084,Reliance Industries Limited, RELIANCE,BSE,984,YYYY-32-DD 14:32:SS,56,LSBG82243123115511
1085,Hero MotoCorp Limited, HEROMOTOCO,NSE,635,YYYY-07-DD 20:07:SS,53,CYGV30185467394014
1086,Tata Consultancy Services Limited, TCS,NSE,232,YYYY-50-DD 19:50:SS,72,IDBG89076491002727
1087,Tata Consumer Products Limited, TATACONSUM,NSE,591,YYYY-10-DD 16:10:SS,7,UZWE77792793610473
1088,Hero MotoCorp Limited, HEROMOTOCO,NSE,910,YYYY-05-DD 05:05:SS,2,AJLI96165017117858
1089,Adani Enterprises Limited, ADANIENT,NSE,894,YYYY-20-DD 14:20:SS,50,FJHS39027277326425
1090,Bajaj Auto Limited, BAJAJ-AUTO,NSE,128,YYYY-47-DD 19:47:SS,54,XFJP23382533686502
1091,Kotak Mahindra Bank Limited, KOTAKBANK,NSE,220,YYYY-59-DD 03:59:SS,4,QPZV08226377101463
1092,Aditya Birla Capital Limited, ABCAPITAL,NSE,630,YYYY-13-DD 19:13:SS,91,SBLY28134245275738
1093,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,579,YYYY-39-DD 18:39:SS,92,HRNL26374359260376
1094,Cipla Limited, CIPLA,BSE,682,YYYY-48-DD 06:48:SS,20,RDFH81699914190025
1095,IndusInd Bank Limited, INDUSINDBK,BSE,380,YYYY-43-DD 06:43:SS,92,POLZ68787341032522
1096,Tech Mahindra Limited, TECHM,NSE,611,YYYY-35-DD 02:35:SS,56,ZXBC82884832429169
1097,ITC Limited, ITC,BSE,761,YYYY-28-DD 00:28:SS,37,MEFT89794768267805
1098,Nestle India Limited, NESTLEIND,BSE,932,YYYY-47-DD 04:47:SS,72,YDYU17938432265783
1099,Hindustan Zinc Limited, HINDZINC,BSE,614,YYYY-22-DD 11:22:SS,16,OTEL11697395751592
1100,Coal India Limited, COALINDIA,NSE,782,YYYY-50-DD 04:50:SS,72,SRAD00677052117439
1101,Britannia Industries Limited, BRITANNIA,BSE,495,YYYY-05-DD 21:05:SS,20,OUUG67052437291522
1102,HCL Technologies Limited, HCLTECH,BSE,836,YYYY-30-DD 10:30:SS,80,XIFL99847542816019
1103,HDFC Bank Limited, HDFCBANK,BSE,160,YYYY-55-DD 02:55:SS,42,YUKX17812749773388
1104,Divi's Laboratories Limited, DIVISLAB,NSE,937,YYYY-07-DD 03:07:SS,15,WVNK66739411658332
1105,Infosys Limited, INFY,BSE,731,YYYY-15-DD 12:15:SS,68,SLGB26459540128420
1106,Shree Cement Limited, SHREECEM,BSE,430,YYYY-12-DD 02:12:SS,23,TIAP43403868119894
1107,Power Grid Corporation of India Limited, POWERGRID,BSE,251,YYYY-32-DD 09:32:SS,2,CANK45738580460456
1108,Larsen & Toubro Limited, LT,BSE,495,YYYY-07-DD 15:07:SS,83,SXNS34177047547691
1109,State Bank of India, SBIN,BSE,115,YYYY-06-DD 04:06:SS,7,DXEK24110615576762
1110,Nestle India Limited, NESTLEIND,BSE,557,YYYY-30-DD 19:30:SS,77,GRHI86210122453331
1111,Shree Cement Limited, SHREECEM,NSE,817,YYYY-46-DD 10:46:SS,45,TWHF66260111350834
1112,Bajaj Finserv Limited, BAJAJFINSV,BSE,426,YYYY-25-DD 20:25:SS,45,FDLQ40031881091381
1113,Tech Mahindra Limited, TECHM,BSE,534,YYYY-28-DD 00:28:SS,89,MUKR00230002354732
1114,Infosys Limited, INFY,NSE,727,YYYY-12-DD 15:12:SS,29,TICY96221367901857
1115,Aditya Birla Capital Limited, ABCAPITAL,BSE,253,YYYY-50-DD 22:50:SS,16,DHNY40651295539670
1116,Reliance Industries Limited, RELIANCE,NSE,946,YYYY-02-DD 05:02:SS,9,HXYJ24946994911275
1117,IndusInd Bank Limited, INDUSINDBK,BSE,279,YYYY-48-DD 06:48:SS,89,UKGT36678012264540
1118,Sun Pharmaceutical Industries Limited, SUNPHARMA,BSE,517,YYYY-47-DD 11:47:SS,67,BMSB33029535076929
1119,State Bank of India, SBIN,BSE,872,YYYY-22-DD 05:22:SS,91,ZOUL90114385607891
1120,UltraTech Cement Limited, ULTRACEMCO,NSE,643,YYYY-09-DD 22:09:SS,72,NRWR68760092349484
1121,Housing Development Finance Corporation Limited, HDFC,NSE,832,YYYY-51-DD 15:51:SS,68,OPMI66847405917916
1122,Larsen & Toubro Limited, LT,BSE,561,YYYY-06-DD 18:06:SS,57,CVYI82191634856195
1123,Asian Paints Limited, ASIANPAINT,NSE,108,YYYY-44-DD 12:44:SS,34,FJUP75222829506962
1124,Larsen & Toubro Infotech Limited, LTI,NSE,793,YYYY-50-DD 06:50:SS,65,DHNY40651295539670
1125,Bajaj Auto Limited, BAJAJ-AUTO,BSE,117,YYYY-19-DD 13:19:SS,72,RWTY52231645047557
1126,UltraTech Cement Limited, ULTRACEMCO,NSE,596,YYYY-50-DD 08:50:SS,75,TLCX23577115178523
1127,Axis Bank Limited, AXISBANK,NSE,100,YYYY-20-DD 08:20:SS,29,VUDG09696904913202
1128,SBI Life Insurance Company Limited, SBILIFE,NSE,487,YYYY-47-DD 18:47:SS,4,CFOA57326218444224
1129,SBI Life Insurance Company Limited, SBILIFE,BSE,698,YYYY-04-DD 11:04:SS,34,CITK63153403888605
1130,Axis Bank Limited, AXISBANK,BSE,602,YYYY-50-DD 06:50:SS,9,YUSS05742106202444
1131,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,201,YYYY-38-DD 15:38:SS,17,CXQQ56803679268721
1132,ITC Limited, ITC,BSE,847,YYYY-43-DD 02:43:SS,68,AFCW06839238647243
1133,Divi's Laboratories Limited, DIVISLAB,BSE,269,YYYY-22-DD 02:22:SS,68,UTJH78135101128974
1134,Axis Bank Limited, AXISBANK,NSE,935,YYYY-25-DD 20:25:SS,96,HWOQ75115312664283
1135,Titan Company Limited, TITAN,BSE,366,YYYY-29-DD 02:29:SS,4,KDVY28641612647014
1136,Asian Paints Limited, ASIANPAINT,BSE,846,YYYY-29-DD 16:29:SS,55,TGNB95213129187560
1137,Adani Ports and Special Economic Zone Limited, ADANIPORTS,NSE,360,YYYY-46-DD 05:46:SS,11,GYWX40489171358709
1138,Infosys Limited, INFY,BSE,231,YYYY-12-DD 00:12:SS,64,AWYL89719842019478
1139,Asian Paints Limited, ASIANPAINT,BSE,535,YYYY-10-DD 00:10:SS,38,QYHE36531939383443
1140,Tech Mahindra Limited, TECHM,BSE,406,YYYY-15-DD 08:15:SS,1,RGHT25032479276645
1141,Housing Development Finance Corporation Limited, HDFC,NSE,286,YYYY-27-DD 22:27:SS,72,NGHH24980008846266
1142,Bharti Airtel Limited, BHARTIARTL,NSE,788,YYYY-34-DD 10:34:SS,97,SPWT96198308790927
1143,Mahindra & Mahindra Limited, M&M,BSE,176,YYYY-52-DD 07:52:SS,22,QJKO96312105531241
1144,Mahindra & Mahindra Limited, M&M,BSE,451,YYYY-54-DD 14:54:SS,6,VGSI67530631599360
1145,Axis Bank Limited, AXISBANK,BSE,324,YYYY-07-DD 09:07:SS,10,POVH07781126403357
1146,Shree Cement Limited, SHREECEM,NSE,370,YYYY-29-DD 08:29:SS,89,TZUA97720526573156
1147,ICICI Bank Limited, ICICIBANK,BSE,792,YYYY-43-DD 20:43:SS,93,BWJO78556403779870
1148,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,630,YYYY-16-DD 18:16:SS,76,RAGX38342334126833
1149,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,706,YYYY-15-DD 07:15:SS,43,YLLV36477815009528
1150,Tata Consumer Products Limited, TATACONSUM,BSE,255,YYYY-28-DD 10:28:SS,91,ECRQ01753707385709
1151,Coal India Limited, COALINDIA,NSE,297,YYYY-08-DD 18:08:SS,49,FKHW90588569896895
1152,Bajaj Finance Limited, BAJFINANCE,NSE,388,YYYY-11-DD 10:11:SS,76,BMSB33029535076929
1153,Wipro Limited, WIPRO,BSE,945,YYYY-10-DD 03:10:SS,59,JVHS51516742314518
1154,Bharti Airtel Limited, BHARTIARTL,BSE,582,YYYY-59-DD 06:59:SS,4,ZEHM12667387432613
1155,Cipla Limited, CIPLA,NSE,440,YYYY-31-DD 05:31:SS,33,LYBL63794988143738
1156,Larsen & Toubro Limited, LT,NSE,347,YYYY-24-DD 22:24:SS,30,IIDT65997333507765
1157,Adani Green Energy Limited, ADANIGREEN,BSE,758,YYYY-59-DD 18:59:SS,85,LLGZ48154381697882
1158,Adani Ports and Special Economic Zone Limited, ADANIPORTS,BSE,956,YYYY-59-DD 13:59:SS,95,CTNZ69698752489756
1159,Shree Cement Limited, SHREECEM,BSE,644,YYYY-24-DD 00:24:SS,43,MTRC58396700999484
1160,Grasim Industries Limited, GRASIM,NSE,114,YYYY-05-DD 08:05:SS,59,HPBB79610765944541
1161,ITC Limited, ITC,BSE,983,YYYY-58-DD 21:58:SS,63,XAPS35456388656985
1162,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,205,YYYY-44-DD 08:44:SS,16,EVUY37488744789505
1163,Coal India Limited, COALINDIA,NSE,749,YYYY-27-DD 04:27:SS,62,CWZQ42224906264869
1164,Bajaj Auto Limited, BAJAJ-AUTO,NSE,250,YYYY-47-DD 19:47:SS,2,CTPZ02552923447185
1165,Adani Enterprises Limited, ADANIENT,BSE,599,YYYY-35-DD 10:35:SS,47,YVXT90204559142490
1166,Tata Motors Limited, TATAMOTORS,BSE,429,YYYY-05-DD 12:05:SS,15,JEHD57789010290249
1167,Coal India Limited, COALINDIA,BSE,431,YYYY-48-DD 20:48:SS,66,APYL08333668442780
1168,Cipla Limited, CIPLA,NSE,350,YYYY-02-DD 23:02:SS,71,AHRI23306755870342
1169,Housing Development Finance Corporation Limited, HDFC,BSE,846,YYYY-00-DD 19:00:SS,10,ESRM99751469777180
1170,Nestle India Limited, NESTLEIND,NSE,868,YYYY-09-DD 10:09:SS,12,HPBF58865429751800
1171,Britannia Industries Limited, BRITANNIA,BSE,121,YYYY-38-DD 08:38:SS,92,EYBF54548409453651
1172,Tata Consultancy Services Limited, TCS,NSE,325,YYYY-55-DD 03:55:SS,71,FUJR52502442743340
1173,Hindustan Unilever Limited, HINDUNILVR,BSE,170,YYYY-28-DD 20:28:SS,9,SOPD45430805617635
1174,Housing Development Finance Corporation Limited, HDFC,NSE,461,YYYY-51-DD 08:51:SS,50,CGHD35287738230009
1175,Wipro Limited, WIPRO,NSE,148,YYYY-29-DD 17:29:SS,9,DSYT91235407530131
1176,Reliance Industries Limited, RELIANCE,BSE,630,YYYY-46-DD 18:46:SS,64,YBTY25227039720037
1177,Reliance Industries Limited, RELIANCE,NSE,939,YYYY-33-DD 00:33:SS,7,BRAT34307087246755
1178,Asian Paints Limited, ASIANPAINT,BSE,323,YYYY-17-DD 13:17:SS,60,LYBL63794988143738
1179,Coal India Limited, COALINDIA,BSE,444,YYYY-56-DD 09:56:SS,87,FYWH13047955886613
1180,Bajaj Finserv Limited, BAJAJFINSV,NSE,350,YYYY-07-DD 21:07:SS,9,AFCW06839238647243
1181,Tech Mahindra Limited, TECHM,BSE,235,YYYY-31-DD 10:31:SS,49,PAPK64440227503596
1182,Bharti Airtel Limited, BHARTIARTL,NSE,770,YYYY-36-DD 02:36:SS,73,AVRW60136482723349
1183,Tata Consumer Products Limited, TATACONSUM,BSE,853,YYYY-33-DD 20:33:SS,40,YDYU17938432265783
1184,Titan Company Limited, TITAN,NSE,931,YYYY-59-DD 14:59:SS,43,LLGZ48154381697882
1185,State Bank of India, SBIN,BSE,594,YYYY-54-DD 11:54:SS,74,RQRN36293505577660
1186,Hero MotoCorp Limited, HEROMOTOCO,BSE,864,YYYY-19-DD 11:19:SS,93,CWBJ50145548509166
1187,UltraTech Cement Limited, ULTRACEMCO,BSE,669,YYYY-04-DD 13:04:SS,51,RFQZ96846443382029
1188,Adani Green Energy Limited, ADANIGREEN,BSE,555,YYYY-54-DD 06:54:SS,90,TGNB95213129187560
1189,HDFC Bank Limited, HDFCBANK,NSE,323,YYYY-46-DD 15:46:SS,92,SVWA02847718528658
1190,Adani Green Energy Limited, ADANIGREEN,NSE,923,YYYY-46-DD 07:46:SS,28,SOVI57967092082951
1191,Tech Mahindra Limited, TECHM,NSE,719,YYYY-40-DD 06:40:SS,63,YYZS36589028400530
1192,Adani Enterprises Limited, ADANIENT,BSE,708,YYYY-45-DD 05:45:SS,67,UQBX22678681005602
1193,Coal India Limited, COALINDIA,BSE,669,YYYY-59-DD 00:59:SS,41,GSIG22093833206561
1194,Tata Motors Limited, TATAMOTORS,NSE,596,YYYY-49-DD 18:49:SS,21,TAGE82155998646705
1195,Reliance Industries Limited, RELIANCE,BSE,244,YYYY-24-DD 15:24:SS,23,TFIR61739323295702
1196,Housing Development Finance Corporation Limited, HDFC,BSE,960,YYYY-56-DD 19:56:SS,93,GSXP75911352237855
1197,Axis Bank Limited, AXISBANK,NSE,710,YYYY-43-DD 17:43:SS,24,RKPA21896138693405
1198,Bajaj Finserv Limited, BAJAJFINSV,BSE,577,YYYY-49-DD 11:49:SS,94,MAYE67070558476443
1199,Divi's Laboratories Limited, DIVISLAB,BSE,259,YYYY-02-DD 03:02:SS,86,GZDW25661491146156
1200,Mahindra & Mahindra Limited, M&M,NSE,585,YYYY-33-DD 03:33:SS,99,XRDW65964429153926
1201,Kotak Mahindra Bank Limited, KOTAKBANK,BSE,367,YYYY-21-DD 11:21:SS,24,PQWE76577015009033
1202,HCL Technologies Limited, HCLTECH,NSE,619,YYYY-42-DD 09:42:SS,34,YJDR45937392034585
1203,Shree Cement Limited, SHREECEM,BSE,660,YYYY-27-DD 21:27:SS,47,UHHW98623009297373
1204,Larsen & Toubro Limited, LT,NSE,570,YYYY-00-DD 22:00:SS,90,QQXK95050823807740
1205,Infosys Limited, INFY,BSE,731,YYYY-16-DD 23:16:SS,34,JQMC79114392338826
1206,Britannia Industries Limited, BRITANNIA,NSE,279,YYYY-01-DD 00:01:SS,63,IBIQ98494309190903
1207,UltraTech Cement Limited, ULTRACEMCO,NSE,397,YYYY-16-DD 01:16:SS,84,GZDW25661491146156
1208,Tata Consultancy Services Limited, TCS,NSE,317,YYYY-30-DD 10:30:SS,41,HUQQ85819179505722
1209,HDFC Bank Limited, HDFCBANK,BSE,250,YYYY-47-DD 06:47:SS,34,HDOK23227063824078
1210,Kotak Mahindra Bank Limited, KOTAKBANK,BSE,619,YYYY-51-DD 01:51:SS,92,ONPG67336146208447
1211,Bajaj Finance Limited, BAJFINANCE,BSE,102,YYYY-18-DD 22:18:SS,75,HEZE31870881307208
1212,UltraTech Cement Limited, ULTRACEMCO,BSE,426,YYYY-12-DD 16:12:SS,48,YBCZ59873832559290
1213,Mahindra & Mahindra Limited, M&M,NSE,529,YYYY-50-DD 01:50:SS,17,HCDN53883892241195
1214,Infosys Limited, INFY,NSE,776,YYYY-09-DD 13:09:SS,50,AQZD43682287299422
1215,Tata Motors Limited, TATAMOTORS,NSE,504,YYYY-11-DD 00:11:SS,67,ZCLR03070518440631
1216,Britannia Industries Limited, BRITANNIA,NSE,436,YYYY-43-DD 04:43:SS,84,HLWG69571072859894
1217,SBI Life Insurance Company Limited, SBILIFE,NSE,205,YYYY-43-DD 11:43:SS,19,HQMX77731805141037
1218,ITC Limited, ITC,NSE,582,YYYY-26-DD 17:26:SS,64,ZGCZ50237192579646
1219,Reliance Industries Limited, RELIANCE,BSE,195,YYYY-06-DD 05:06:SS,72,MZMO25812174377273
1220,Adani Green Energy Limited, ADANIGREEN,BSE,325,YYYY-06-DD 22:06:SS,89,XCTN10608972682751
1221,Housing Development Finance Corporation Limited, HDFC,BSE,652,YYYY-04-DD 19:04:SS,21,MXDZ21993488216680
1222,Housing Development Finance Corporation Limited, HDFC,BSE,911,YYYY-03-DD 18:03:SS,31,MQJQ57633532489772
1223,Axis Bank Limited, AXISBANK,NSE,265,YYYY-35-DD 11:35:SS,93,QTMF67066168561211
1224,HCL Technologies Limited, HCLTECH,NSE,723,YYYY-47-DD 18:47:SS,5,IZNT51183978727365
1225,Hindustan Petroleum Corporation Limited, HINDPETRO,BSE,413,YYYY-56-DD 23:56:SS,12,UYOR62639856961419
1226,Dr. Reddy's Laboratories Limited, DRREDDY,BSE,130,YYYY-07-DD 18:07:SS,2,HYCF48401415084387
1227,Wipro Limited, WIPRO,BSE,854,YYYY-57-DD 14:57:SS,97,WPYE52827841937550
1228,Maruti Suzuki India Limited, MARUTI,BSE,537,YYYY-07-DD 15:07:SS,10,FRGJ40231056988083
1229,Bajaj Finance Limited, BAJFINANCE,NSE,214,YYYY-37-DD 18:37:SS,33,PSZH42472934107874
1230,Cipla Limited, CIPLA,BSE,322,YYYY-20-DD 11:20:SS,47,MQJQ57633532489772
1231,Tata Consumer Products Limited, TATACONSUM,NSE,244,YYYY-10-DD 03:10:SS,72,WGZM39492221113474
1232,Britannia Industries Limited, BRITANNIA,BSE,526,YYYY-04-DD 20:04:SS,90,LBRW87153627029949
1233,Infosys Limited, INFY,BSE,632,YYYY-28-DD 02:28:SS,44,FTYW18647078068624
1234,Tata Consultancy Services Limited, TCS,NSE,739,YYYY-21-DD 16:21:SS,100,WJWM57402223857487
1235,Eicher Motors Limited, EICHERMOT,BSE,730,YYYY-52-DD 04:52:SS,59,JQHD74442641420120
1236,Bharti Airtel Limited, BHARTIARTL,BSE,104,YYYY-25-DD 23:25:SS,30,WZWX03466325416815
1237,Shree Cement Limited, SHREECEM,BSE,809,YYYY-08-DD 15:08:SS,21,HLKY90596079897073
1238,Bajaj Auto Limited, BAJAJ-AUTO,BSE,461,YYYY-07-DD 23:07:SS,30,SRXZ57429504059328
1239,State Bank of India, SBIN,NSE,577,YYYY-26-DD 10:26:SS,70,CBBO34852127547768
1240,Larsen & Toubro Infotech Limited, LTI,NSE,169,YYYY-59-DD 12:59:SS,55,GLSL42664295721498
1241,Larsen & Toubro Limited, LT,NSE,259,YYYY-04-DD 13:04:SS,62,GBFW45172047821760
